TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
HAGA3;8,18;;9,78;-1,48;1,55;31,17;25,36;22,26;8,58;3,88;-0,25;;2,18;4,34;-9,16;1,76;-15,13;15,87;-30,38;-1,05;2,05;0,71;0,12;26,11;571.321,39;-5,57;0,84;0,09;47.203.335,42
HAGA4;1,87;;2,19;-0,33;0,35;31,17;25,36;22,26;1,93;3,88;-0,25;;0,49;0,97;-2,05;1,76;-15,13;15,87;-30,38;-1,05;2,05;0,71;0,12;26,11;211.374,11;-5,57;0,84;0,02;47.203.335,42
HAPV3;11,55;0,32;115,03;4,22;2,57;31,11;5,87;4,07;79,83;79,61;-0,84;-0,04;4,69;101,02;-3,27;1,14;3,67;2,24;3,57;0,61;0,39;0,55;28,32;5,27;229.450.591,08;2,73;0,10;-2,03;45.142.209.100,00
HBOR3;3,99;1,19;5,02;0,40;0,13;26,12;16,13;10,56;3,29;8,73;5,46;0,66;0,53;0,29;-0,39;2,76;7,92;2,49;4,49;0,31;0,57;0,24;-5,72;9,02;4.460.712,67;10,00;0,79;-0,01;530.050.245,12
HBRE3;7,07;;-13,14;0,41;0,21;83,54;79,19;-69,44;11,52;18,73;7,23;0,26;9,12;2,34;-0,26;2,12;-3,14;-1,62;1,05;0,52;0,40;0,02;;;640.756,17;17,13;-0,54;0,10;727.482.316,05
HBSA3;2,86;;-18,91;1,52;0,35;34,97;21,62;-8,91;7,79;22,22;14,49;2,83;1,68;4,58;-0,42;1,92;-8,05;-1,86;3,76;0,23;0,77;0,21;49,43;;10.721.160,17;1,88;-0,15;0,73;2.159.486.706,12
HBTS5;45,12;0,36;1,79;0,79;0,31;63,46;45,41;84,56;3,34;3,80;0,46;0,11;1,52;-4,63;-0,34;0,59;43,93;17,08;16,05;0,39;0,61;0,20;7,42;106,97;10.621,00;57,25;25,15;0,00;412.111.957,44
HETA3;96,00;;-0,28;-0,09;4,24;100,00;-7.377,17;-7.526,18;-0,29;-2,01;-1,89;;21,09;-0,68;-4,44;0,01;-31,35;-1.513,45;73,59;-48,27;49,27;0,20;-2,24;;42.600,00;-1.092,95;-342,66;0,00;19.308.040,48
HETA4;7,90;;-0,02;-0,01;0,37;100,00;-7.377,17;-7.526,18;-0,03;-2,01;-1,89;;1,86;-0,06;-0,39;0,01;-31,35;-1.513,45;73,59;-48,27;49,27;0,20;-2,24;;113.052,06;-1.092,95;-342,66;0,00;19.308.040,48
HGTX3;37,50;0,28;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-7,32;0,69;0,31;0,59;-7,54;-26,63;109.503.605,67;10,49;0,37;-1,23;6.095.022.637,50
